Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
verify the filter option can be used with empty search query.,RET-55,10054,Test,Done,RET,RETAIL,software,rohit,620694d15d18ad00729af86f,,Medium,Done,,,rohit,620694d15d18ad00729af86f,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:03 PM,18/Feb/22 3:09 PM,21/Feb/22 10:01 AM,18/Feb/22 3:09 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001y:zy,,RET Sprint 1,,,,,,,Done
verify the filtering options with blue colour field,RET-54,10053,Test,Done,RET,RETAIL,software,rohit,620694d15d18ad00729af86f,,Medium,Done,,,rohit,620694d15d18ad00729af86f,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:03 PM,18/Feb/22 3:09 PM,21/Feb/22 10:01 AM,18/Feb/22 3:09 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001y:zx,,RET Sprint 1,,,,,,,Done
Verify the filtering of result work per option.,RET-53,10052,Test,Done,RET,RETAIL,software,rohit,620694d15d18ad00729af86f,,Medium,Done,,,rohit,620694d15d18ad00729af86f,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:03 PM,18/Feb/22 3:09 PM,21/Feb/22 10:01 AM,18/Feb/22 3:09 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001y:zv,,RET Sprint 1,,,,,,,Done
verify  all the filter options are available,RET-52,10051,Test,Done,RET,RETAIL,software,rohit,620694d15d18ad00729af86f,,Medium,Done,,,rohit,620694d15d18ad00729af86f,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:03 PM,18/Feb/22 3:09 PM,21/Feb/22 10:01 AM,18/Feb/22 3:09 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001y:zr,,RET Sprint 1,,,,,,,Done
Verify the filter option in Marketing Tab .,RET-51,10050,Test,Done,RET,RETAIL,software,rohit,620694d15d18ad00729af86f,,Medium,Done,,,rohit,620694d15d18ad00729af86f,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:03 PM,18/Feb/22 3:09 PM,21/Feb/22 10:01 AM,18/Feb/22 3:09 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001y:zi,,RET Sprint 1,,,,,,,Done
Verify the button in Pre-confirmation message,RET-50,10049,Test,Done,RET,RETAIL,software,rohit,620694d15d18ad00729af86f,,Medium,Done,,,rohit,620694d15d18ad00729af86f,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:03 PM,18/Feb/22 3:09 PM,21/Feb/22 10:01 AM,18/Feb/22 3:09 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001y:z,,RET Sprint 1,,,,,,,Done
Verify that when user click on cancel button in delete icon,RET-49,10048,Test,Done,RET,RETAIL,software,rohit,620694d15d18ad00729af86f,,Medium,Done,,,rohit,620694d15d18ad00729af86f,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:03 PM,18/Feb/22 3:09 PM,21/Feb/22 10:01 AM,18/Feb/22 3:09 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001y:y,,RET Sprint 1,,,,,,,Done
Verify that when user Click on Yes button then record getting deleted,RET-48,10047,Test,Done,RET,RETAIL,software,rohit,620694d15d18ad00729af86f,,Medium,Done,,,rohit,620694d15d18ad00729af86f,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:03 PM,18/Feb/22 3:09 PM,21/Feb/22 10:01 AM,18/Feb/22 3:09 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001y:x,,RET Sprint 1,,,,,,,Done
Verify that pre-Confirmation message showing or not when user click on delete icon,RET-47,10046,Test,Done,RET,RETAIL,software,rohit,620694d15d18ad00729af86f,,Medium,Done,,,rohit,620694d15d18ad00729af86f,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:03 PM,18/Feb/22 3:09 PM,21/Feb/22 10:01 AM,18/Feb/22 3:09 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001y:v,,RET Sprint 1,,,,,,,Done
verify the delete icon in marketing tab,RET-46,10045,Test,Done,RET,RETAIL,software,rohit,620694d15d18ad00729af86f,,Medium,Done,,,rohit,620694d15d18ad00729af86f,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:03 PM,18/Feb/22 3:09 PM,21/Feb/22 10:01 AM,18/Feb/22 3:09 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001y:r,,RET Sprint 1,,,,,,,Done
